Year,Month,Day,Active Count,Deceased Count,Recovered Count
2020,1,1,0,0,3
2020,1,10,0,0,1
2020,1,13,0,0,1
2020,1,16,0,0,1
2020,1,21,0,0,1
2020,1,22,0,0,4
2020,1,24,0,0,3
2020,1,25,0,0,3
2020,1,27,0,0,1
2020,1,31,0,0,3
2020,10,1,0,2,1250
2020,10,2,0,11,1194
2020,10,3,1,9,1160
2020,10,4,0,4,1159
2020,10,5,0,6,1548
2020,10,6,0,6,1319
2020,10,7,0,8,1367
2020,10,8,0,7,1278
2020,10,9,0,9,1350
2020,10,10,0,7,1350
2020,10,11,0,3,1200
2020,10,12,0,8,1328
2020,10,13,0,1,1512
2020,10,14,0,6,1489
2020,10,15,0,11,1327
2020,10,16,0,6,1500
2020,10,17,0,7,1322
2020,10,18,0,4,1385
2020,10,19,0,14,1886
2020,10,20,0,9,1789
2020,10,21,0,8,1615
2020,10,22,0,8,1705
2020,10,23,0,8,1576
2020,10,24,0,5,1475
2020,10,25,0,5,1449
2020,10,26,0,14,1682
2020,10,27,0,14,1723
2020,10,28,0,14,1879
2020,10,29,0,11,1574
2020,10,30,0,10,1722
2020,10,31,0,6,1781
2020,11,1,0,11,1863
2020,11,2,0,22,2700
2020,11,3,0,15,2647
2020,11,4,0,17,2653
2020,11,5,0,17,2640
2020,11,6,0,16,2827
2020,11,7,0,11,2499
2020,11,8,0,21,2351
2020,11,9,0,12,3002
2020,11,10,0,11,2811
2020,11,11,1,11,2989
2020,11,12,0,18,2651
2020,11,13,0,11,2735
2020,11,14,0,11,2497
2020,11,15,0,11,2428
2020,11,16,0,7,2904
2020,11,17,0,13,2970
2020,11,18,0,13,3217
2020,11,19,0,12,2844
2020,11,20,0,15,3004
2020,11,21,0,10,2617
2020,11,22,0,17,2620
2020,11,23,0,19,3569
2020,11,24,0,23,3443
2020,11,25,0,31,3624
2020,11,26,0,23,3404
2020,11,27,0,21,3255
2020,11,28,0,29,3280
2020,11,29,0,26,3061
2020,11,30,0,19,3736
2020,12,1,0,28,3742
2020,12,2,3,18,3749
2020,12,3,0,25,3699
2020,12,4,0,13,3549
2020,12,5,0,20,3160
2020,12,6,0,22,3340
2020,12,7,0,24,4206
2020,12,8,0,30,3916
2020,12,9,0,32,4144
2020,12,10,0,26,3911
2020,12,11,0,33,3935
2020,12,12,0,20,3702
2020,12,13,0,24,3770
2020,12,14,1,35,4674
2020,12,15,0,44,4155
2020,12,16,0,42,4416
2020,12,17,0,39,4004
2020,12,18,0,32,4102
2020,12,19,0,27,3815
2020,12,20,0,28,3811
2020,12,21,0,38,4971
2020,12,22,0,38,4292
2020,12,23,0,31,4788
2020,12,24,0,34,4774
2020,12,25,0,22,4154
2020,12,26,0,33,5492
2020,12,27,0,32,5708
2020,12,28,1,45,6583
2020,12,29,0,43,5932
2020,12,30,0,43,5785
2020,12,31,0,32,5784
2020,2,1,0,0,1
2020,2,2,0,0,3
2020,2,5,0,0,3
2020,2,7,0,0,3
2020,2,10,0,0,2
2020,2,14,0,0,4
2020,2,15,0,0,1
2020,2,16,0,0,1
2020,2,17,0,0,4
2020,2,19,0,0,1
2020,2,20,0,0,7
2020,2,21,0,0,1
2020,2,22,0,0,7
2020,2,23,0,0,7
2020,2,24,0,0,8
2020,2,25,0,0,5
2020,2,26,0,0,2
2020,2,27,0,0,2
2020,2,28,0,0,10
2020,2,29,0,0,10
2020,3,1,0,1,27
2020,3,2,0,0,20
2020,3,3,0,0,18
2020,3,4,0,2,18
2020,3,5,0,1,39
2020,3,6,0,3,47
2020,3,7,0,3,38
2020,3,8,0,3,64
2020,3,9,0,2,111
2020,3,10,0,2,136
2020,3,11,0,2,167
2020,3,12,0,1,197
2020,3,13,0,5,217
2020,3,14,0,9,205
2020,3,15,0,9,260
2020,3,16,0,12,400
2020,3,17,0,13,383
2020,3,18,0,13,381
2020,3,19,0,17,347
2020,3,20,0,16,504
2020,3,21,0,19,413
2020,3,22,0,15,389
2020,3,23,0,17,516
2020,3,24,0,24,438
2020,3,25,0,25,452
2020,3,26,0,41,405
2020,3,27,0,31,533
2020,3,28,0,31,503
2020,3,29,0,39,448
2020,3,30,0,48,634
2020,3,31,0,40,557
2020,4,1,0,64,697
2020,4,2,0,51,593
2020,4,3,0,103,676
2020,4,4,0,59,551
2020,4,5,0,53,561
2020,4,6,0,73,739
2020,4,7,0,62,622
2020,4,8,0,61,667
2020,4,9,0,57,691
2020,4,10,0,63,759
2020,4,11,0,81,726
2020,4,12,0,76,735
2020,4,13,0,70,858
2020,4,14,0,78,831
2020,4,15,0,88,904
2020,4,16,0,107,748
2020,4,17,0,78,968
2020,4,18,0,133,754
2020,4,19,0,63,627
2020,4,20,0,62,798
2020,4,21,0,57,676
2020,4,22,0,47,734
2020,4,23,0,69,676
2020,4,24,0,43,644
2020,4,25,0,57,695
2020,4,26,0,38,617
2020,4,27,0,39,750
2020,4,28,0,38,661
2020,4,29,0,53,644
2020,4,30,0,30,630
2020,5,1,0,33,787
2020,5,2,0,27,528
2020,5,3,0,17,505
2020,5,4,0,24,556
2020,5,5,0,30,600
2020,5,6,0,26,488
2020,5,7,0,25,535
2020,5,8,0,23,569
2020,5,9,0,40,493
2020,5,10,0,11,519
2020,5,11,0,23,626
2020,5,12,0,22,601
2020,5,13,0,24,523
2020,5,14,0,20,614
2020,5,15,0,22,814
2020,5,16,0,23,596
2020,5,17,0,26,582
2020,5,18,0,18,659
2020,5,19,0,13,685
2020,5,20,0,8,715
2020,5,21,0,17,653
2020,5,22,0,19,581
2020,5,23,0,14,544
2020,5,24,0,11,503
2020,5,25,0,17,699
2020,5,26,0,13,570
2020,5,27,0,4,541
2020,5,28,0,4,449
2020,5,29,0,7,593
2020,5,30,0,16,529
2020,5,31,0,8,487
2020,6,1,0,5,730
2020,6,2,0,2,480
2020,6,3,0,8,518
2020,6,4,0,7,489
2020,6,5,0,4,449
2020,6,6,0,5,381
2020,6,7,0,4,349
2020,6,8,0,4,491
2020,6,9,0,4,355
2020,6,10,0,4,407
2020,6,11,0,8,358
2020,6,12,0,1,369
2020,6,13,0,3,293
2020,6,14,0,2,324
2020,6,15,0,3,436
2020,6,16,0,4,355
2020,6,17,0,2,367
2020,6,18,0,6,357
2020,6,19,0,2,352
2020,6,20,0,2,326
2020,6,21,0,3,300
2020,6,22,0,0,369
2020,6,23,0,1,354
2020,6,24,0,3,326
2020,6,25,0,5,588
2020,6,26,0,1,263
2020,6,27,0,1,249
2020,6,28,0,6,267
2020,6,29,0,1,313
2020,6,30,0,0,264
2020,7,1,0,1,211
2020,7,2,0,2,256
2020,7,3,0,0,297
2020,7,4,0,1,233
2020,7,5,0,0,189
2020,7,6,0,5,441
2020,7,7,0,3,349
2020,7,8,1,0,314
2020,7,9,0,2,271
2020,7,10,0,3,275
2020,7,11,0,3,273
2020,7,12,0,1,264
2020,7,13,1,1,397
2020,7,14,0,2,347
2020,7,15,0,1,374
2020,7,16,0,2,320
2020,7,17,0,0,324
2020,7,18,0,1,276
2020,7,19,0,2,244
2020,7,20,0,1,330
2020,7,21,0,0,344
2020,7,22,0,2,339
2020,7,23,0,0,282
2020,7,24,0,0,278
2020,7,25,0,1,229
2020,7,26,0,1,218
2020,7,27,0,2,332
2020,7,28,0,0,276
2020,7,29,0,1,259
2020,7,30,0,0,234
2020,7,31,0,0,237
2020,8,1,0,1,228
2020,8,2,0,0,160
2020,8,3,0,0,201
2020,8,4,0,0,195
2020,8,5,0,0,215
2020,8,6,0,0,181
2020,8,7,0,0,254
2020,8,8,0,0,191
2020,8,9,0,0,183
2020,8,10,0,1,265
2020,8,11,0,0,232
2020,8,12,0,0,236
2020,8,13,0,2,267
2020,8,14,0,1,228
2020,8,15,0,1,193
2020,8,16,0,0,195
2020,8,17,0,2,321
2020,8,18,0,0,259
2020,8,19,0,1,245
2020,8,20,0,2,236
2020,8,21,0,2,281
2020,8,22,0,0,272
2020,8,23,0,3,259
2020,8,24,0,1,352
2020,8,25,0,1,330
2020,8,26,0,1,301
2020,8,27,0,0,244
2020,8,28,0,1,291
2020,8,29,0,0,282
2020,8,30,0,1,335
2020,8,31,0,1,380
2020,9,1,0,2,428
2020,9,2,0,2,453
2020,9,3,0,1,428
2020,9,4,0,3,462
2020,9,5,0,4,448
2020,9,6,0,0,444
2020,9,7,0,1,587
2020,9,8,0,2,595
2020,9,9,0,2,692
2020,9,10,0,6,713
2020,9,11,0,1,735
2020,9,12,0,3,743
2020,9,13,0,0,718
2020,9,14,0,4,1088
